longitude,latitude,stype,fwy,direc,abs_pm,state_pm,size
-120.569835,38.761062,ML,50,E,60.162,31.627,3
-120.569866,38.761182,ML,50,W,60.166,31.627,3
-121.48412,38.409782,OR,5,S,506.189,10.896,3
-121.48412,38.409782,FR,5,S,506.189,10.896,3
-121.484363,38.412779,OR,5,N,506.398,11.105,3
-121.487578,38.428258,OR,5,N,507.478,12.185,3
-121.486808,38.424648,FR,5,N,507.226,11.933,3
-121.505888,38.566906,ML,50,E,3.789,L0.633,3
-121.505906,38.566911,FF,50,E,3.788,L0.632,3
-121.495585,38.564153,OR,50,E,4.376,L1.22,3
-121.495585,38.564153,ML,50,E,4.376,L1.22,3
-121.495585,38.564153,FR,50,E,4.376,L1.22,3
-121.493316,38.563816,ML,50,W,4.501,L1.345,3
-121.493316,38.563816,OR,50,W,4.501,L1.345,3
-121.493316,38.563816,FR,50,W,4.501,L1.345,3
-121.476106,38.55902,ML,50,E,5.496,L2.34,3
-121.476106,38.55902,OR,50,E,5.496,L2.34,3
-121.462999,38.560995,ML,50,W,6.221,R0.587,3
-121.462999,38.560995,OR,50,W,6.221,R0.587,3
-121.462999,38.560995,FR,50,W,6.221,R0.587,3
-121.476019,38.559248,FR,50,W,5.496,L2.34,3
-121.48412,38.409782,ML,5,S,506.189,10.896,3
-121.487572,38.428229,ML,5,N,507.476,12.183,3
-121.484289,38.412421,ML,5,N,506.373,11.08,3
-121.489577,38.562537,ML,50,E,4.722,L1.566,3
-121.489577,38.562537,OR,50,E,4.722,L1.566,3
-121.48948,38.562774,FR,50,W,4.722,L1.566,3
-121.429758,38.551104,ML,50,W,8.165,R2.531,3
-121.430183,38.551202,OR,50,W,8.141,R2.507,3
-121.413693,38.552893,ML,50,W,9.063,R3.429,3
-121.41058,38.553566,OR,50,W,9.238,R3.604,3
-121.414475,38.552718,OR,50,W,9.019,R3.385,3
-121.459539,38.560891,ML,50,W,6.409,R.775,3
-121.459539,38.560891,OR,50,W,6.409,R.775,3
-121.416935,38.468819,ML,99,N,291.631,17.161,3
-121.437973,38.553882,ML,50,W,7.679,R2.045,3
-121.439488,38.554652,OR,50,W,7.581,R1.947,3
-121.381217,38.558665,ML,50,W,10.871,R5.237,3
-121.381217,38.558665,OR,50,W,10.871,R5.237,3
-121.502715,38.632748,ML,80,W,87.404,M3.499,3
-121.502762,38.632724,OR,80,W,87.401,M3.496,3
-121.501501,38.633055,ML,80,E,87.474,M3.569,3
-121.501301,38.63316,OR,80,E,87.487,M3.582,3
-121.503092,38.632213,FR,80,E,87.37,M3.465,3
-121.499686,38.63434,ML,80,W,87.601,M3.696,3
-121.499686,38.63434,OR,80,W,87.601,M3.696,3
-121.421498,38.473227,ML,99,N,292.023,17.553,3
-121.421498,38.473227,OR,99,N,292.023,17.553,3
-121.425542,38.477038,ML,99,N,292.365,17.895,3
-121.425542,38.477038,OR,99,N,292.365,17.895,3
-121.430345,38.481528,ML,99,N,292.769,18.299,3
-121.433775,38.484562,ML,99,S,293.021,18.576,3
-121.437961,38.488691,ML,99,N,293.412,18.942,3
-121.444522,38.494881,ML,99,N,293.967,19.497,3
-121.444546,38.494903,OR,99,N,293.969,19.499,3
-121.44399,38.494379,FR,99,N,293.922,19.452,3
-121.447279,38.497462,ML,99,N,294.199,19.729,3
-121.447279,38.497462,OR,99,N,294.199,19.729,3
-121.447453,38.497373,FR,99,S,294.174,19.729,3
-121.498277,38.634771,ML,80,E,87.685,M3.78,3
-121.49817,38.634827,OR,80,E,87.692,M3.787,3
-121.45279,38.502687,ML,99,N,294.666,20.196,3
-121.459013,38.509079,ML,99,N,295.223,20.753,3
-121.459013,38.509079,OR,99,N,295.223,20.753,3
-121.459962,38.510121,ML,99,S,295.283,20.838,3
-121.459371,38.509064,OR,99,S,295.204,20.759,3
-121.459962,38.510121,FR,99,S,295.283,20.838,3
-121.46048,38.511704,ML,99,N,295.421,20.951,3
-121.46048,38.511704,OR,99,N,295.421,20.951,3
-121.464889,38.519527,ML,99,S,295.985,21.54,3
-121.464889,38.519527,FR,99,S,295.985,21.54,3
-121.46665,38.52335,ML,99,N,296.291,21.821,3
-121.46665,38.52335,OR,99,N,296.291,21.821,3
-122.231409,38.089363,ML,80,W,29.542,2.07,3
-121.468176,38.526244,ML,99,N,296.507,22.037,3
-121.468176,38.526244,OR,99,N,296.507,22.037,3
-121.468176,38.526244,FR,99,N,296.507,22.037,3
-121.472307,38.533524,ML,99,S,297.031,22.586,3
-121.473702,38.542279,ML,99,N,297.672,23.202,3
-121.473703,38.542468,OR,99,N,297.685,23.215,3
-121.473985,38.545423,ML,99,S,297.864,23.419,3
-121.474179,38.555907,ML,99,N,298.615,24.145,3
-121.474196,38.555618,FF,99,N,298.595,24.125,3
-121.409707,38.455428,ML,99,N,290.624,16.154,3
-121.409707,38.455428,OR,99,N,290.624,16.154,3
-121.409707,38.455428,FR,99,N,290.624,16.154,3
-121.410442,38.456958,ML,99,N,290.737,16.267,3
-121.410475,38.457026,OR,99,N,290.742,16.272,3
-121.46946,38.56768,ML,51,N,0.649,0.649,3
-121.46946,38.56768,OR,51,N,0.649,0.649,3
-121.465994,38.575691,ML,51,N,1.233,1.233,3
-121.466199,38.575227,OR,51,N,1.199,1.199,3
-121.466505,38.574513,FR,51,N,1.147,1.147,3
-121.46446,38.579355,ML,51,N,1.5,1.5,3
-121.46446,38.579355,OR,51,N,1.5,1.5,3
-121.443773,38.596555,ML,51,S,3.326,3.326,3
-121.443773,38.596555,OR,51,S,3.326,3.326,3
-121.443157,38.597705,ML,51,S,3.411,3.411,3
-121.443157,38.597705,OR,51,S,3.411,3.411,3
-121.443157,38.597705,FR,51,S,3.411,3.411,3
-121.43308,38.605082,ML,51,N,4.206,4.206R,3
-121.428176,38.609733,ML,51,N,4.612,4.612,3
-121.428176,38.609733,OR,51,N,4.612,4.612,3
-121.428176,38.609733,FR,51,N,4.612,4.612,3
-121.424576,38.612976,ML,51,N,4.909,4.909,3
-121.424256,38.613271,OR,51,N,4.936,4.936,3
-121.467078,38.573898,ML,51,S,1.097,1.097,3
-121.467078,38.573898,OR,51,S,1.097,1.097,3
-121.456996,38.584861,ML,51,S,2.092,2.092,3
-121.449127,38.58611,ML,51,S,2.53,2.53,3
-121.438319,38.600789,ML,51,N,3.758,3.758,3
-121.444782,38.593388,ML,51,N,3.101,3.101,3
-121.419484,38.61932,ML,51,N,5.447,5.447,3
-121.41574,38.624622,ML,51,N,5.91,5.91,3
-121.415556,38.624694,FR,51,N,5.921,5.921,3
-121.411041,38.626546,ML,51,N,6.194,6.194,3
-121.411123,38.626511,FR,51,N,6.189,6.189,3
-121.402163,38.630571,ML,51,S,6.725,6.743,3
-121.402163,38.630571,OR,51,S,6.725,6.743,3
-121.399941,38.631139,ML,51,N,6.869,6.869,3
-121.399941,38.631139,OR,51,N,6.869,6.869,3
-121.388222,38.635728,ML,51,S,7.565,7.583,3
-121.388511,38.635576,OR,51,S,7.546,7.564,3
-121.384478,38.638497,ML,51,N,7.863,7.863,3
-121.384478,38.638497,OR,51,N,7.863,7.863,3
-121.383432,38.639721,ML,51,S,7.947,7.965,3
-121.383432,38.639721,OR,51,S,7.947,7.965,3
-121.37871,38.558938,ML,50,W,11.008,R5.374,3
-121.37871,38.558938,OR,50,W,11.008,R5.374,3
-121.37871,38.558938,FR,50,W,11.008,R5.374,3
-121.336473,38.565998,ML,50,W,13.375,R7.741,3
-121.336473,38.565998,OR,50,W,13.375,R7.741,3
-121.334983,38.566723,ML,50,W,13.47,R7.836,3
-121.334983,38.566723,OR,50,W,13.47,R7.836,3
-121.334983,38.566723,FR,50,W,13.47,R7.836,3
-121.307113,38.579132,ML,50,W,15.205,R9.571,3
-121.307429,38.578957,OR,50,W,15.184,R9.55,3
-121.305839,38.579894,FR,50,W,15.292,R9.658,3
-121.288588,38.590372,ML,50,W,16.477,R10.843,3
-121.288152,38.590638,OR,50,W,16.507,R10.873,3
-121.286115,38.591859,ML,50,W,16.646,R11.012,3
-121.28635,38.591718,OR,50,W,16.63,R10.996,3
-121.217366,38.630616,OR,50,E,21.405,15.735,3
-121.216679,38.630971,ML,50,E,21.449,15.779,3
-121.216148,38.631246,OR,50,E,21.483,15.813,3
-121.217801,38.630603,ML,50,W,21.385,15.715,3
-121.219562,38.629672,OR,50,W,21.27,15.6,3
